ID,Code,Title,Official Link,ISO Number,Has Real Std,Detected Std,Issue Type,Severity,Detail
2847,A-PHY-003,Disguised as Common Object,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Disguised as Common Object"""
2202,A107,Asset protection trust,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Asset protection trust"""
2345,A123,PDPA,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""PDPA"""
2483,A152,Incident Disclosure Policy,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Incident Disclosure Policy"""
2486,A155,Security Contact,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Security Contact"""
2489,A158,Coverage Amount Disclosed,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Coverage Amount Disclosed"""
2586,A159,Claims Process Documented,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Claims Process Documented"""
2589,A162,Team Transparency,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Team Transparency"""
2592,A165,Audit Reports Public,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Audit Reports Public"""
2596,A169,Failover Testing,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Failover Testing"""
1939,A31,Geographic distribution,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Geographic distribution"""
1944,A36,Jurisdictional diversity,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Jurisdictional diversity"""
1970,A62,Innocuous packaging,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Innocuous packaging"""
1978,A70,No IP logging,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""No IP logging"""
3027,E-ISO-25010,ISO 25010 Software Quality,https://www.iso.org/standard/35733.html,35733,False,,FAKE_STANDARD_CLAIM,HIGH,Internal criterion claims to be official standard
3026,E-ISO-9241,ISO 9241 Human-System Interaction,https://www.iso.org/standard/63909.html,63909,False,,FAKE_STANDARD_CLAIM,HIGH,Internal criterion claims to be official standard
2405,E157,ISO 9241-210,https://www.iso.org/,,False,,FAKE_STANDARD_CLAIM,HIGH,Internal criterion claims to be official standard
2406,E158,ISO 9241-11,https://www.iso.org/,,False,,FAKE_STANDARD_CLAIM,HIGH,Internal criterion claims to be official standard
2104,E43,Weight <50g,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Weight <50g"""
2129,E68,Price <200€,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Price <200€"""
2131,E70,No recurring fees,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""No recurring fees"""
3135,F-COLD,Cold Storage Ratio,https://www.iso.org/standard/27001,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Cold Storage Ratio"""
3180,F-CUST-SLA,Custody SLA Guarantee,https://www.iso.org/standard/27001.html,27001,False,,GENERIC_PLACEHOLDER,HIGH,"Using ISO 27001 as generic placeholder for ""Custody SLA Guarantee"""
